City,Address,,,
Quito,"Av Libertador Simón Bolívar, Quito 170157, Ecuador",,,
Quito,"Calle C y, Av. Simón Bolívar, Quito, Ecuador",,,
Quito,"Manuel Sotomayor E17-105, Quito 170516, Ecuador",,,
Quito,"Giacomo Roca, Quito 170135, Ecuador",,,
Quito,"Ave 6 de Diciembre, Quito 170517, Ecuador",,,
Quito,"Diego de Almagro N32-48, Quito 170135, Ecuador",,,
Quito,"Mariano Aguilera 331, Quito 170517, Ecuador",,,
Quito,"La, Reina Victoria 24-150, Quito 170143, Ecuador",,,
Quito,"Vicente Ramón Roca, Quito 170143, Ecuador",,,
Quito,"Calle General Leonidas Plaza N19-09 y, Ave Patria, Quito, Ecuador",,,
Quito,"Reina Victoria 462 y, Quito 170143, Ecuador",,,
Quito,"Gral. Francisco Robles, Quito 170143, Ecuador",,,
Quito,"Av. de los Shyris, Quito 170135, Ecuador",,,
Quito,"Avenida Patria 420, Quito 170143, Ecuador",,,
Quito,"Hospital Militar, Av Colombia y, Queseras del Medio, Quito 170403, Ecuador",,,